name,muscle_parts_id
ジョギング,1
ランニング,1
スプリント走,1
サイクリング,1
ヨガ,1
ダンス,1
バレエ,1
ボクシング,1
球技,1
登山,1
水泳,1
ロッククライミング,1
その他 有酸素運動,1
その他 無酸素運動,2
パイクプレス,3
リアレイズ,3
サイドレイズ,3
フロントレイズ,3
アップライト・ロウ,3
ショルダープレス,3
プッシュアップ,4
インクライン・プッシュアップ,4
デクライン・プッシュアップ,4
ダンベルフライ,4
インクライン・ダンベルフライ,4
デクライン・ダンベルフライ,4
ダンベルプレス,4
インクライン・ダンベルプレス,4
デクライン・ダンベルプレス,4
ダンベル・スクイーズプレス,4
ダンベル・プルオーバー,4
シュラッグ,5
チンニング,5
フロント・ラットプルダウン,5
バック・ラットプルダウン,5
バックエクステンション（背筋）,5
ワンハンド・ローイング,5
ベント・オーバー・ローイング,5
デッドリフト,5
シーテッド・ローイング,5
ダンベルカール,6
インクライン・ダンベルカール,6
ハンマーカール,6
ケーブルカール,6
リバースカール,6
ナロー・プッシュアップ,6
リバース・プッシュアップ,6
ダンベル・フレンチプレス,6
キックバック,6
テイトプレス,6
トライセプス・エクステンション,6
クランチ（腹筋）,7
ツイスト・クランチ,7
ニートゥチェスト,7
レッグレイズ,7
ニーレイズ,7
バイシクル・クランチ,7
リバース・クランチ,7
レッグプレス,8
レッグカール,8
レッグエクステンション,8
クォーター・スクワット,8
ハーフ・スクワット,8
パラレル・スクワット,8
フル・スクワット,8
フルボトム・スクワット,8
ブルガリアン・スクワット,8
スプリット・スクワット,8
シシー・スクワット,8
レッグランジ,8
ヒップリフト,8
スタンディング・カーフレイズ,8
シーテッド・カーフレイズ,8
ドンキー・カーフレイズ,8
フロッグジャンプ,8
